8/8/3Q2pk/3Ppq1p/pN2b3/P3K1P1/7P/8 b - -,f5f3
r1bqk1nr/1pp2ppp/2npp3/p7/1bPP4/2N2NP1/PP1BPP1P/R2QKB1R b KQkq -,g8f6
r1b2rk1/1p2bppp/1qnpp3/p1p5/2P1PBn1/P1NP1N2/1P2BPPP/1R1Q1RK1 w - -,f3e1
3rr1k1/3qppbp/1pp3p1/p5P1/P2Pn2P/2P2Q2/1P1B1P2/R3R1K1 w - -,e1e4
4r1k1/4q3/p2p1p2/P1pPr1p1/1pR1P1Pn/1P1Q3P/6B1/R6K w - -,a1e1
1r1qnrk1/p1p2pp1/3p1b1p/2p1PQ2/8/1PN3B1/P1P2PPP/R4RK1 b - -,d6e5
r4k1r/1p1bqn1p/p1p1npp1/4p3/1P2P3/1BP1NN2/P4PPP/R2Q1RK1 w - -,f3e1
r4rk1/4bqpp/bp1p1n2/1N1PpN2/Pp6/3QB2P/5PP1/1R3RK1 b - -,g8h8
4r1k1/5p2/3q2p1/p1rpb2p/P1p5/2P1P2P/1P2N1P1/1R1QR1K1 w - -,e2d4
2rrq1k1/pb2bppp/1pn1p3/2p1N3/8/1P1PP1PP/PB2QPB1/2RR2K1 w - -,d3d4
7r/2k3N1/p2R1p2/1p1BP1p1/8/8/PP1p1R1r/5K2 w - -,g7e6
1r4k1/p2qbppp/2p1p3/1rPnP3/R3QPPP/1P1N4/PB6/1KR5 w - -,h4h5
r1bq1rk1/2bpnppp/ppn1p3/2p5/P1B1PP2/2NP1N2/1PP2QPP/R1B2RK1 b - -,d7d5
5k2/1R3p2/6pp/p1r5/1r4PP/4NNK1/5P2/8 w - -,b7a7
r3kb1r/1pp2pp1/2p1b2p/p2nP3/3N1BP1/2N4P/PPP2P2/R2R2K1 w - -,d4e6
7r/1p1b1kp1/p7/q2PpPp1/1bp1P3/2N2R1B/1P1Q3K/8 w - -,d2g5
r2qk2r/4bppp/p1bppn2/1p4B1/4P3/P1NB1P2/1PPQ2PP/R4RK1 b kq -,e8g8
1r1q1rk1/p1n2pbp/b2p1np1/N1pP4/6P1/2N1B2P/PP3PB1/R2Q1RK1 b - -,c7d5
6k1/p4p2/5rp1/2pp3p/3b1B2/1P1q2P1/P5QP/4R2K b - -,f6e6
8/1B1b3p/5kp1/4pp2/7P/P3K1P1/5P2/8 w - -,e3d3
1k6/1pq2p1p/p1n1pn2/5pN1/3r4/2R4P/P3QPP1/3R2K1 b - -,f6d5
2bq1rk1/1ppn1pbp/3p2p1/3Pp2n/1PP5/2N1P3/2QNBPPP/B3K2R b K -,h5f6
r2qr1k1/1b3pbp/pppp1np1/8/P2NPP2/1P1n2N1/1BPQ2PP/3RR1K1 w - -,c2d3
2r1r1k1/p2bqp1p/1p3np1/3P4/2p1PP2/P1R2BN1/3Q2PP/5RK1 w - -,e4e5
r3r1k1/1p3p2/1q4pp/p2P4/P3B3/1P1Q2Pb/2P1NP2/R5K1 b - -,b6f6
rnb1k2r/1pq2ppp/p2pp3/2b1P3/N1PN2n1/1Q2B3/PP3PPP/R3KB1R w KQkq -,e5d6
r2q1rk1/pp2ppbp/1n4p1/8/3nP1b1/2N1BNP1/PP2QPBP/R4RK1 w - -,e3d4
r1bqr1k1/1p1nbpp1/p1p2n1p/3p4/3P1B2/2NBPN1P/PP3PP1/2RQK2R w K -,e1g1
r1b2rk1/p3p2p/6p1/2P5/8/NP1p3P/PN2nPP1/R3R1K1 w - -,g1h2
R7/4rk2/2rn2p1/8/8/2p1P3/2KP1R2/8 b - -,d6f5
3r2k1/5rpp/pq6/1pbnPp2/2pp1P2/5Q2/PPP2BPP/R3RNK1 b - -,d5b4
1r2r1k1/p1q2pp1/n2pbn1p/1p2p3/4P3/B1PP2PP/P1Q1NPB1/1RR3K1 b - -,c7d7
2r2k2/5P2/5b2/3R2p1/1r6/1B2BKP1/P4P2/8 b - -,c8c3
3r4/p4k1p/4q1p1/1Qpp1b2/7P/N1P1b1P1/PP5K/3RR3 b - -,f7g7
8/2B5/p7/7p/5Nk1/3K4/1P3b2/8 w - -,f4d5
r2q1rk1/1b1nbppp/1pp1pn2/p2p4/2P5/1P1P1NP1/PBQNPPBP/R4RK1 w - a6,a2a3:a2a4
8/7k/5R1P/6P1/6K1/8/7r/8 w - -,f6f7
8/p5r1/1p2pkr1/PR6/8/2PR2P1/1P4K1/8 b - -,b6a5
2r2rk1/2qb1ppp/1p1Q4/p7/P7/1nN3P1/1PR2PBP/3R2K1 b - -,d7a4
8/1p3k2/p1p5/3pP3/3P4/3bP1q1/PP4B1/2R3K1 b - -,g3e3
4Qq2/1p3Bbk/7p/6p1/8/6PP/1P3P1K/8 w - -,e8e4
5Nk1/1p5p/p1p5/8/PP6/6P1/2nB2KP/8 b - -,g8f8
4N3/5kp1/1pR5/8/1p6/3p4/8/3KBr2 w - -,e8d6
6k1/1b3p1p/1p2p1p1/p2p4/P2P1PP1/6K1/4r2P/1B6 b - -,b7a6
4r2k/pp2r1bp/2pq1ppn/8/3P4/1PP2N1B/P5PP/R2QR1K1 b - -,e7e1
r1b2r2/p1p2pbk/4nqpp/1p2N3/4PB2/1BP3Q1/PP4PP/R3R1K1 w - -,b3e6
4qrk1/2rn2pp/1p2pb2/p1ppN3/P2PpP2/1PP1P3/1B2Q1PP/R4RK1 w - -,e5d7
8/8/pk6/4n1R1/4r3/PK6/8/8 w - -,g5g8
rn2k2r/p3p3/b2p1p1b/q1pP3p/2B1n1pP/4P1B1/PP1NNPP1/2RQK2R w Kkq -,d1c2
r4rk1/pp3pp1/7p/2q1p3/2B1P1bb/2NQ2P1/PPP4P/1K3R1R b - -,h4e7
r4rk1/2q1bppp/p2p1nb1/nppPp3/4P1P1/2P2N1P/PPB1QP2/RNBR2K1 w - -,b2b3
r7/4k3/2p2pp1/1p2n2p/1P1RB2P/4K3/6P1/8 b - -,a8a3
rn1q1rk1/pp3ppp/2pbpnb1/8/2PPp3/2NB1N2/PP3PPP/R1BQR1K1 w - -,c3e4
3r1rk1/ppp2p1p/1n2q1p1/4b3/8/1PN1P1P1/PB2QPKP/2RR4 w - -,f2f3
1r3rk1/pPp1q1bp/3p2p1/3Pp3/2P1b3/B3QPP1/P5B1/R4RK1 b - -,e4f5
r3k1nr/pp3p2/3p2p1/7p/2N1P1b1/1R6/P1qB1PPP/Q3R1K1 b kq -,f7f6
