8/R7/6pk/P5p1/4BnP1/5P2/r7/4K3 w - -,a5a6
1rq2rk1/2n1ppbp/p2p2p1/2pP4/PRB1PP2/2NQ3P/2P3P1/5RK1 w - -,b4b8
8/7P/4pP2/1p2P3/p1k1p3/P1Pr4/1P2K3/7R b - -,c4b3
r5k1/p2qb1pp/np1p4/2pPpr2/2P5/2N3P1/PP1B1PKP/R2QR3 w - -,f2f3
8/PR6/6k1/r1pK2p1/8/1P5P/8/8 w - -,d5c6
r4rk1/1pq1bppb/2p2n1p/p1N1p3/P3P3/5PP1/1PP1QNBP/R1B1R1K1 b - -,e7c5
rn1qk2r/pb1p1ppp/1p2pn2/2p5/1bPP4/1P3NP1/P2BPPBP/RN1QK2R w KQkq c6,d2b4:e1g1
r3rnk1/1p5p/p3pqp1/3p4/3N1PP1/1PPP4/R6P/4QRK1 w - -,a2e2
8/pp3k1p/6p1/2p2p2/4n3/1P2PPP1/P2rN1KP/R7 w - -,f3e4
rn2kb1r/pb1q1ppp/3p1n2/1ppP4/7N/2N3P1/PP2PPBP/R1BQK2R w KQkq -,e2e4
2b1r2r/2q2pk1/2np1np1/p1p5/1pP1PP1p/1P1B4/P1NQ1NPP/3RR1K1 w - -,d3f1
3k4/8/1p1p4/1B1Pp1pp/PP2Pp2/5Pn1/5KP1/8 b - -,d8c7
r4rk1/pp1bppbp/3p2p1/q2Pnn2/2P5/1PN2PPP/P2BN1BK/R2Q1R2 b - -,a5b6
2q2rk1/1p1n1ppp/p3p3/3p4/Nb1P4/3BP2P/P4PP1/1Q3RK1 b - -,b4a3
r2qk2r/1b1nbp1p/p1n1p3/2PpP1p1/Pp6/2PB1N2/1P1NQPPP/R1BR2K1 b kq -,d7c5
rn1qkb1r/pp3ppp/2p1pn2/3pN2b/2PP4/1Q4P1/PP2PPBP/RNB1K2R b KQkq -,d8b6
5rk1/5ppp/1p2p1b1/4N3/2Q3P1/8/P2q1P1P/R5K1 w - -,e5g6
r1bqk2r/pppp2bp/2n2np1/4pp2/3P3P/2P3P1/PP1NPPB1/R1BQK1NR w KQkq e6,d4d5
1r4k1/2qn1pbp/3p2p1/2pP4/2N2P2/7P/NPQ2PP1/5RK1 w - -,a2c3
6k1/p5p1/4p2p/P7/r7/5B2/5P1P/2B3K1 w - -,c1d2
2b2rk1/6bp/3B2p1/3Pp3/1Q6/1P3pPq/P4P2/R4RKB b - -,f8f4
r3r1k1/1p1bqpbp/n2p1np1/p1pPp3/2P1P3/1PN1B1PP/P2QNPB1/R4RK1 w - -,a1e1
7r/1Rb5/k7/p7/N3n3/1P6/P5K1/8 w - -,b7c7
rnbqk1nr/ppppp1bp/6p1/5p2/3P1B2/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,d7d6
2b1kb1r/p3pppp/2n5/3p4/2pPn3/N1P1PN2/q2BBPPP/2Q2RK1 b k -,e7e6
8/8/3pk1p1/8/3R1K1P/4N3/8/1r6 b - -,b1b5
3r1k2/1p1b1p1p/1np3p1/p7/3N4/1P2P1P1/P1R2PBP/6K1 w - -,g1f1
1rbqk2r/4bpp1/pp1p1n1n/2pPp1Np/P1P1P2P/2N1BPP1/1PQ5/R3KB1R w KQk -,a1b1
8/8/1p2k3/pBp4p/P4K2/6P1/1P6/3b4 w - -,b5c4
2b2rk1/prp2p1p/2p3pQ/4n3/2p1PP2/2N1q1PP/P5B1/2RR3K w - -,d1e1
