7k/4R1n1/7p/2Q3rp/8/8/5Pp1/6K1 w - -,c5c8
r4rk1/p3qpp1/2p4p/3b4/1p3P2/2R1PB2/PPQ3PP/5RK1 w - -,c3d3
r3k1r1/1pqn1pb1/p2pb2p/4n3/3BP3/2N4P/PPP3P1/2KRQB1R w q -,e1h4
3n4/R4p2/pr4kp/1p2pN2/1P2P3/2P3P1/1P3KP1/8 w - -,a7a8
8/R7/1r5p/6p1/2PkB3/b2P3P/2K3P1/8 b - -,b6b2
2r3rk/1pp1qpp1/3p1n1p/BP1PpP2/2PbP3/P4P1P/2B1R1RK/2Q5 b - -,b7b6
r5k1/pR1bqr1p/3p1n1b/2pPnp2/2P1pN2/P1N1P1PP/1Q2B2K/B4R2 b - -,e5d3
2k4r/pp1b4/2nq3P/3p4/2p2R2/P1P5/1QPB1Nr1/1K1R4 b - -,h8h6
r2q1rk1/ppp1bp2/4b1p1/3pP1p1/1n1P4/1Q4N1/P4PPP/RBB1R1K1 b - -,a7a5
2k5/1R2Q2p/p1q5/5p2/4pP2/6P1/7P/4K3 w - -,b7b4
r1b2rk1/1pq1bp1p/p3p1p1/4n1P1/3NB3/2P1B3/PP2QP1P/2KR2R1 b - -,c8d7
r1bq1rk1/3nbppp/p2p1n2/1pp1p3/B3P3/2PP1N2/PP1N1PPP/R1BQR1K1 w - b6,a4c2
r4rk1/p2n2p1/1pp3np/q4p2/1b1P4/2N2NB1/PPQ2PPP/2R2RK1 b - -,g8h7
rnbqk2r/ppp2ppp/3b1n2/3pp3/4P3/3P1NP1/PPP2PBP/RNBQK2R b KQkq e3,d5e4
5k2/1R4p1/4p1pp/4P3/rp3PKP/6P1/8/8 w - -,h4h5
1r4k1/p1p2rb1/3q3p/3p1np1/3Pp3/1N2P1P1/PPPQBP1K/5RN1 w - -,c2c4
5rk1/5ppp/2nb4/3q1p2/3Pn3/4PQ1P/P1R2PP1/2R3K1 w - -,c2c6
3rrbk1/1pqn1ppp/2p5/p1n1p3/P1P1N1b1/BPN1P1P1/2Q2PBP/R4RK1 w - -,e4c5
