8/p7/5n1P/5k2/B4p2/5K2/8/8 b - -,f5g5
r1b2rk1/1pqnb1np/p2p4/2pPp1p1/BPP1Pp2/P1N2N2/3BQPPP/R1R3K1 b - -,d7b6
r1b2r1k/1p2bpqn/p1p5/4p2p/2Q1Pp2/PB3N1P/1PP2PPK/R2NR3 w - -,e1g1
rn1qk2r/p2bbppp/3p4/1p1pP3/P1pP4/1P3N2/2P1BPPP/R1BQ1RK1 w kq -,c1f4
2r3k1/1q3pp1/4p2p/P1P5/8/6P1/5P1P/1R4K1 w - -,b1b7
r7/3k4/p1p1ppb1/1r4pp/R2P4/1P3P2/P3KBPP/2R5 w - h6,h2h3
r1b2rk1/1p2bppp/p2ppn2/q3n3/P3PB2/2N2N2/BP2QPPP/R2R2K1 w - -,a1c1
r2q1rn1/1ppb1pbk/3p2pp/p1nPp3/2P1P1P1/2N1BN1P/PPBQ1P2/2KR3R b - -,a5a4
1r3rk1/2bq2pp/1p2p3/2Pp1p2/1Q1PBP2/1P2P1P1/7P/RN3RK1 b - -,b6c5
1r1q1Rk1/1b2p2p/3n2p1/2p3PP/pp1bN3/3P4/PPP3B1/R1BQ3K b - -,d8f8
1r3rk1/2q1b1pp/5p2/p1n1p3/PpPpPP2/6P1/R2B2BP/1Q1R3K w - -,f4f5
8/5p2/3bbk1p/p3p3/2Bp1p2/1P3P2/P3K1PP/2R5 b - -,e6d7
8/1qn1p3/6k1/2pPp2p/RP2Pp2/P1N2PrP/7K/5Q2 b - -,c5b4
rq3rk1/1b3ppp/pn1bpn2/1p2N3/3P1B2/1BN5/PP2QPPP/2RR2K1 b - -,b6d5
7r/kp4r1/pp2P1P1/3p3P/4p3/1B2qpQ1/PPP4R/3K4 b - -,h8h5
2r5/p4pkp/6p1/1Rr5/8/N7/n1P2PPP/5RK1 w - -,f1a1
2rr2k1/4bppp/b3p3/p1p1P3/3n1PP1/P1N4P/1P2N1B1/R2R2K1 w - -,e2d4
r4r1k/1ppqb1pp/p2p2n1/4Pn2/8/2P1BN1P/PPBQ1PPK/3RR3 b - -,a8e8
6k1/1b1r2p1/1pp1ppNp/8/1PPPn3/5R1P/6P1/5RK1 w - -,f3d3
2R5/1p3ppp/3kb3/pP1p4/3P1P2/P5P1/6BP/6K1 b - -,e6c8
1rb2r2/p3npkp/1qnpp1p1/1ppP4/4P3/2N3P1/PPPQNPBP/R4RK1 b - -,e6d5
8/pp3Qbk/7p/2q4P/P4n2/4PP1K/1r6/5R2 w - -,e3f4
2r1k2r/1p3p2/p2p1qp1/4p3/P3Pn2/1PN3R1/2P1NQBn/R3K3 b k -,f6h4
2rr2k1/1b2bppp/p3pn2/q2pP3/5P2/2N1BB2/1PP3PP/R4R1K w - -,a1a5
1qrrb1k1/pp2bpp1/2n1pn1p/4N3/8/1PB2NP1/PQ2PPBP/2R2RK1 b - -,c6e5
r1q1r1k1/4ppb1/4n1pp/pp1bp3/4P3/2P1BQ1P/PPBR1PP1/3R2K1 w - -,d2d5
r1bq1rk1/pp4pp/2n1pn2/2b2p2/2Pp1B2/2N1PN1P/PPQ1BPP1/R3K2R w KQ -,e1c1
r7/2pk1pp1/r2pn1b1/2pN3p/4P3/P2P3P/1PP5/2K2RR1 b - -,c7c6
2rq1rk1/pp2ppbp/3n1np1/P2P4/NQ1P4/1P1b1B2/4NPPP/R1B2RK1 w - -,f1e1
r7/8/2p1kp2/1p4pp/4P3/P1b1K1P1/4P2P/2R5 w - -,c1c3
r7/3q1pk1/1b2p2p/1pp1Pp2/3pP1P1/1P1Q3P/5R2/2R2K2 w - -,g4f5
r4rk1/5p2/p2Rb1pp/1pp5/2n5/P3PN2/1PB2PPP/R5K1 w - -,d6c6
r1bqk2r/3nppb1/p2p1npp/2pPP3/1p3P1B/2N2N2/PPPQ2PP/R3KB1R w KQkq -,c3d1
r3k2r/pq1pb1pp/bp2p3/1N1nPp2/3P4/3QBN2/PP3PPP/2R2RK1 w kq -,a2a4
1r3rk1/1ppq1nbp/3pp1p1/p2P1p2/PnP2P2/1P1NP1P1/1BQN3P/R4RK1 w - -,d3b4
7k/1p1bb2p/2p3pN/4p2n/1qP1P3/1P3Q1P/r1B2PP1/4NK2 w - -,f3f7
1r3k2/p4p2/3P2p1/1P5p/P7/8/6PP/3R2K1 w - -,g1f2
rnbqk2r/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
1q1rk2r/1p2bppp/pNn1p3/5b2/3P4/1B2B3/PP3PPP/R2Q1RK1 w k -,d4d5
7k/2R5/6p1/7p/2p4P/2r5/6PK/8 w - -,g2g3
r1b2rk1/pppnqpbp/5np1/4p3/8/2P1PNB1/PP1NBPPP/R2QK2R w KQ -,e1g1
8/pp1r3p/8/3p2k1/8/1PPK4/P7/5R2 b - -,h7h5
r1bq2k1/pppnn1bp/3p1r2/3Pp1p1/1PP1Pp2/2N2P2/P3BBPP/R2QNRK1 w - -,c4c5
q7/5Qpk/5n2/5P1p/8/2pBP2P/5PK1/8 w - -,e3e4
qr1r2k1/5pbp/5np1/4p1B1/P3p3/1PN4P/4QPP1/2R1R1K1 b - -,e4e3
1kr3r1/p2q4/1pB1p1Np/3pP1pP/1b1P4/4P3/1P2Q3/1K1R3R b - -,d7c6
2r1r2k/1bqn1p1p/p2b1npB/3Pp3/1pp1P3/3B2NP/PP1Q1PPN/2R2RK1 b - -,d7b6
4r1k1/5p2/p2p1qpQ/2pPnP1p/1r2P3/Np1RN3/1P4B1/4R1K1 b - -,e5d3
4Rr1k/3b2p1/1p1q1p1p/pP1B4/P1P5/3Q3P/4RPP1/6K1 b - -,f8e8
r4rk1/p2q1ppp/1pn1p3/3pP3/5P2/3Q4/PPPB2PP/R3K2R w KQ -,e1g1
r1bqr1k1/pp3ppp/4pn2/4n3/2Np4/6P1/PP2PPBP/R1QR2K1 w - -,c4e5
2b2bk1/1p3p2/2ppn1pr/p7/P3P3/2N2B2/1P4K1/3R3R b - -,h6h1
3r4/1pRP1p2/p2K1kp1/3B4/8/7p/P7/8 w - -,c7c8
r1br2k1/b3npp1/p2pp3/8/2N1PP1p/P1N4P/1PP3PB/R4R1K b - -,d6d5
2r1k3/6pr/p1pqpp2/3p2p1/Q2Pn3/P3PN1P/1P3PP1/2R1R1K1 b - -,g5g4
6k1/1p4p1/2b2b1p/5R2/3B1P2/2P4P/4r1P1/1K4R1 w - -,f5a5
5k2/p1r1qp1p/np2p1p1/8/1P2QP2/P3P3/5PBP/3R2K1 b - -,f8g7
3rBk1r/ppq1pP2/6p1/8/2pn4/2b4P/PP3PP1/R2Q1RK1 w - -,b2c3
5Q2/5R2/p3p1k1/8/1p2r3/6PK/8/8 w - -,f8g8
r3r1k1/ppp2ppp/2b5/4P1B1/3n1PP1/2N5/PP3R1P/4R1K1 w - -,c3e4
r1r3k1/1b3ppp/1q6/p2pPR2/3Nn3/P2BQ3/2P3PP/R5K1 b - -,c8e8
2r1k3/2q1bp2/p2p2p1/1p1Pn2r/3N3p/4B2P/PPP1Q1P1/1K1RR3 b - -,e8f8
8/5pk1/1p2pNr1/4P3/R7/4n3/7K/8 w - -,h2h3
4r1k1/r1qn1pp1/p1p2n1p/P1Pp1b2/N2Pp3/4P2P/2N1BPP1/R2Q1RK1 w - -,d1d2
k3r3/1p6/p4p2/2PQ4/5B2/5KP1/PP2r2P/8 w - -,c5c6
8/8/8/6p1/3k4/n5P1/Bp2K3/8 w - -,e2f3
2r5/7p/2b1R3/pp1p4/5k2/5B1P/P4KP1/8 b - -,c8c7
1k3b1r/ppq2pp1/2p1pn1p/2Pr3P/2NPn3/5N2/PPQ2PP1/1KBR3R w - -,g2g3
5br1/2k3pR/K2p1pP1/2pPpP2/1p2P3/3P4/1P1B4/8 w - -,d2e3
rr4k1/4qppp/2p5/p2p1b2/Pb1Pn3/4P3/N3BPPP/R1NQ1RK1 w - -,c1d3
3r2k1/5p1p/2r3p1/1pp1R2P/3p1P2/1P4P1/2P2K2/3R4 w - -,h5h6
2r5/p7/1p3k1p/1B4p1/8/P7/5PP1/R5K1 b - -,f6e5
r4rk1/1bqnbpp1/p2ppn1p/1p2P3/3N1P1B/2N2Q2/PPP1B1PP/2KR2R1 w - -,e5f6
2B5/1P3Kp1/1r3p1p/1k3P2/6PP/8/8/8 w - -,f7g7
r3r1k1/1p1n1pp1/2p1pn1p/8/pPRPb3/4NNP1/P3PPBP/3R2K1 b - -,d7b6
7r/1p1r2kq/5p2/1P2pbp1/3n4/3p1PB1/3Q2P1/2RR1BK1 w - -,d2e3
1r4k1/pr4np/1n2bqp1/2Q1p3/4P3/1P3PP1/P4BB1/1KR3NR w - -,b1a1
q3nrk1/pb1rbppp/1p6/1N1pP3/1n6/1PN3P1/PB2QPBP/R2R2K1 w - -,a2a3
r4nk1/1q3pb1/2p3pp/2Pp4/2NPb3/2B3P1/3Q1P1P/4RBK1 b - -,b7b3
8/1k2b3/4K3/1P4pp/3BP3/8/6PP/8 b - -,e7d8
r1b1k1nr/ppppqppp/2n5/b7/2B1P3/1Qp2N2/P4PPP/RNB2RK1 w kq -,b1c3
8/p6p/4kpp1/P1p5/3pK1P1/3P4/4PP1P/8 w - -,h2h4
4r3/2r3kp/2P3p1/4p3/4Pp2/5B2/5PPP/2R2K2 w - -,f3g4
5k2/4qp1p/B6b/2p2Qp1/5p2/2P2P1P/P5PK/8 b - -,f8g8
r1b2rk1/p3qpbp/2n1pnp1/1Npp4/2P5/1P2PN2/PB2BPPP/2RQ1RK1 b - -,c8b7
8/3R1pkp/6p1/1P1p4/7P/6rr/1R4K1/8 w - -,g2f2
rn2kb1r/1bqp1ppp/p3pn2/1p6/3NP3/4BB2/PPP2PPP/RN1Q1RK1 w kq -,b1d2
5rk1/p1r2ppp/1p2p1n1/3n4/3P4/5NP1/PP1Q1P1P/5BK1 b - -,f8c8
5rk1/1p2qpp1/p1pr2p1/P7/4n3/1Q2P1PP/1P3P2/R2R1BK1 w - -,d1d6
1rb2rk1/p1q1ppbp/2p3p1/8/2N3n1/1Q2P1P1/PP1B1PBP/R4RK1 w - -,b3a4
