r7/pkn5/7R/2pqPP2/5Q2/7P/PP4P1/6K1 w - -,h6d6
5k2/1b1n1pp1/1pqpp2p/8/QP1P4/1N3P2/P1r3PP/3R1BK1 w - -,a4c6
8/2p3p1/2P1k3/5pP1/pP3P1R/Pr6/4K3/8 b - -,b3a3
4r3/1p3pk1/p2r2p1/8/2pP1P2/4PK2/PP6/R6R b - -,d6e6
3r2k1/1p2nppp/p3p3/1b2N3/3P1PP1/P7/BP1R3P/6K1 b - -,g8f8
r2q1rk1/p1nnppbp/1p1p2p1/2pP4/P1B1PB2/2N4P/1PP2PP1/R2Q1RK1 w - -,f1e1
r1bq1rk1/p2pnpbp/2p3p1/8/3NP3/2N5/PP3PPP/R1BQR1K1 b - -,f8e8:a8b8
r2qk2r/p1pb3p/1b2p1p1/2ppP2Q/5P2/2P1B3/PP4PP/RN3RK1 w kq -,h5h6
r5k1/1R3p2/5PPK/8/8/8/8/8 b - -,a8f8
8/5pk1/Bp3b2/3p1Pp1/P2Pr2p/5Q1P/1q4PK/3R4 b - -,e4d4
r4rk1/4ppbp/b2p1np1/q1pP4/2n5/2N2NP1/PPQBPPBP/R2R2K1 w - -,d2e1
3qr1k1/2rn4/Qp1b2pp/3p4/8/2N3N1/PP4PP/4RR1K w - -,a6d3
3r4/1b3p2/1p1p1kpp/p1pP4/4P2P/1P3PP1/P4KN1/2R5 b - -,b6b5
8/2R2pk1/1n1p3p/2bP4/r3BK2/5N2/8/8 w - -,f4f5
2r5/4bk1p/8/2P1p3/5p2/2B2P2/6PP/3R2K1 b - -,e7c5
6k1/1p3p1p/1p2bnp1/2p5/P1N5/2P3RP/R4PPK/3r4 w - -,a2d2
2r2rk1/Bp1n1pb1/n5p1/3N3p/1P2q3/1Q5P/P3BPP1/3R1RK1 w - -,e2a6
r1bqk2r/2p1npb1/pn2p1pp/3p1P2/1p1PP1P1/3BBN2/PPP1N1QP/2KR3R b kq -,d5e4
6k1/1b3r1p/p4r2/2Rpq1p1/4p3/4P1P1/P1R2P1P/2Q2BK1 b - -,g5g4
r7/p4k1p/4pp2/6p1/3b4/2R3B1/PP3PPP/6K1 w - -,c3c7
rn1q1rk1/pbp2ppp/1p1b1n2/3p2B1/3P4/2N2NP1/PP2PPBP/R2Q1RK1 b - -,h7h6
3kr2q/1r1n4/p2pQ2P/2pPpB2/8/P5R1/5P2/3R1K2 w - -,e6d6
2knr2r/pppq2pp/8/1PPpp3/6b1/2PBB3/P4PPP/R2QR1K1 w - -,d1a4
2rqr1k1/1p2bppp/p1n1bn2/3p4/5B2/P1N1PN1P/1P2BPP1/2RQR1K1 w - -,f3d4
r1br2k1/pPp1bppp/3q4/n3p3/8/1QPP1N1P/P4PP1/RNB1R1K1 b - -,c8b7
8/8/6p1/6Kn/4k2P/5p2/5B2/8 b - -,e4d3
r2r2k1/2q1bpp1/p6p/1ppnpP2/P3P3/2P1QN1P/1P3P2/2R2RK1 w - -,e4d5
1r1q1rk1/2N1ppbp/3p2p1/2pPn3/4P3/N3B2P/1PP1QPP1/R4RK1 b - -,d8c7
2r1kb1r/1bqn1ppp/p2pp3/3N2P1/1pPNP3/1P2B3/P3QP1P/1R2K2R b Kk -,e6d5
8/p1rnk2p/5pp1/1Rb1p3/4P3/1BP2P1P/P2NK1P1/8 w - -,b3d5
rnbq1rk1/1p3ppp/p3pn2/2b5/1PB5/P1N1PN2/2Q2PPP/R1B1K2R b KQ b3,c5e7
3r1rk1/5pp1/p1qNp2p/1pn5/8/4Q1P1/PP2PP1P/R2R2K1 w - -,d6f7
r1r3k1/1b2qpbp/p1n1p1p1/1pp5/4NP2/2PPBNP1/PP2Q1BP/R4RK1 b - -,c6d8
r4r1k/pppb1qpp/2nbp3/3p4/2PPn3/1P2NN2/PB2BPPP/2RQ1RK1 b - -,d6f4
2rq1rk1/pb1pbppp/1p2pn2/8/2PB4/1P2P3/P2NBPPP/R2Q1RK1 w - -,e2f3
r3r1k1/1p1b1ppp/3pq3/2p3P1/p2QPn2/P4B1P/1PPN4/1K1R2NR w - c6,d4e3
3b4/2p5/3p2k1/BP1Pp2p/4P3/5KP1/8/8 b - -,g6f7
r4bk1/5p1p/q3b1p1/p3P3/N1P1Q3/1PB3PP/P6K/3R4 w - -,e4f3
2bnn3/2q4k/p2p1pp1/Np1Pp2p/1P2P2P/3B2N1/P2Q1PPK/8 w - -,g3e2
r3r1k1/1p2bppp/p1q2n2/2p1p3/2P1P3/1Q3PPB/PP3B1P/3R1RK1 b - -,b7b5
4r1k1/1b3pp1/3q3p/7P/1pP1p3/1PQ2nP1/1KB5/R2R4 w - -,d1d6
1k6/pp2qp2/1np1p1p1/4P2p/8/1BP1Q1P1/PP2KP1P/8 w - -,h2h4
3k1b1r/B3p1pp/5p2/8/4P3/3K1P2/6PP/7R b - -,g7g6
rn2k2r/pbp3pp/1p2P3/4qn2/2P5/5P2/PP4PP/RN1QKBNR w KQkq -,d1e2
8/8/4Q1k1/8/6p1/5r2/6K1/8 b - -,g6h5
1KB5/4k3/2p2p2/B1Pp3p/5P1P/1n6/4b3/8 w - -,a5b4
5R2/1p3p1k/4r2p/8/1B1bn3/5BP1/P4P2/5K2 b - -,h7g7
2br4/4n3/p4kp1/2N2p2/4p3/2R5/2P1BK1P/8 b - -,d8d6
rn3rk1/1ppb2bn/3P2q1/3Pp1pp/1P2Pp2/2N2P2/3NBBPP/1R1Q1RK1 b - -,c7d6
8/1p6/p3k3/4r1pp/3p1r2/3R1PR1/PPP1K3/8 w - -,e2f2
4k3/4q3/4Q3/3p1P2/6rp/2Pb4/5RPP/5NK1 w - -,e6d5
8/2N5/8/1p6/pPk2n2/P4K2/8/8 b - -,f4d5
r1b2bk1/p3qr1p/3P2pn/QNp1p3/2P1p3/7P/P3BPP1/1R3RK1 b - -,e7g5
r1b1n1k1/2b2ppp/p1p3q1/3p4/3B4/1NP2PP1/PP2Q1BP/R5K1 b - -,e8d6
4rb2/k5p1/1pp2p1p/8/P3P3/4R1P1/1NP4P/2K5 w - -,b2c4
8/7R/5r2/P1Kp4/5Pkp/4P3/8/8 w - -,c5d5
r7/3b1pkp/4p1p1/r7/p1pK1P2/7P/R1B3P1/R7 w - -,a2a3
2r1kbQ1/5p2/1p2p3/p2pPP2/P2q1P2/8/5RKP/6N1 b - -,d4e4
3r4/1r3ppk/4P2p/1pb4P/p7/5N2/1P2RPP1/R5K1 b - -,f7e6
r2r2k1/1pq4p/2p1b1p1/2n1N3/p1P2P2/6P1/3RQ1BP/5RK1 b - -,d8d2
r2r2k1/pp2bppp/4p3/2pq4/P2P1P2/4BR1P/1PP1Q1P1/5RK1 w - -,c2c3
4rrk1/p3n1bp/qpb1p1p1/2p1Pp2/2P2P2/1P2BNPP/P3Q1BK/1R3R2 w - -,f1d1
2q1r1k1/R1pb1pp1/r2p1nnp/1p2p3/3PP3/1BP2NN1/1P1Q1PPP/4R1K1 w - -,e1a1
1rb3k1/1p6/p4qpp/n1pPbp1n/P7/1PN1Q2P/2B1N1P1/3R1RK1 b - -,c8d7
r2qk2r/5ppp/p1npbb2/1p1Np3/4P3/2P5/PPN2PPP/R2QKB1R b KQkq -,f6g5
r1b1kb1r/p1qp1ppp/2p1pn2/8/4P3/2N2Q2/PPP2PPP/R1B1KB1R w KQkq -,f3g3
r2qk2r/1p2bpp1/2p1nn2/p2p2p1/P2P4/1N4P1/1PQBPPBP/R4RK1 b kq -,g5g4
8/8/5k2/6R1/4p1pP/8/r4P2/5K2 b - -,a2a1
8/8/5kp1/3K4/5p1P/p3r3/6R1/8 b - -,f4f3
8/8/5PKp/2k5/5P1P/8/1q6/8 b - -,c5d6
2r3k1/p5bp/1p4p1/2p2n2/8/N1P3P1/PP3R1P/4NK2 b - -,f5e3
3n4/8/1P6/6pk/6q1/8/2PB3Q/2K5 b - -,g4h4
r3r1k1/pp1b1ppp/1b2pn2/1NB5/2n5/1NP3P1/P3PPBP/R2R2K1 w - -,b5d6
5rk1/1b3r1p/5qp1/2Rp1p2/1Q1Pp2P/1P6/P3BPP1/2R3K1 b - -,f6h4
8/P1n5/8/8/1p1k4/1P6/2P3K1/6B1 b - -,d4c3
r2q1rk1/pnn1bppp/8/2p1P3/3p1P2/6N1/PPQ1N1PP/R1BR2K1 w - -,g3f5
6k1/3Rbp1p/1rn1r1p1/2NQp3/4P3/2P3P1/1P3P1P/6K1 b - -,e7c5
rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2N1P/PP2BPP1/R1BQK2R b KQ -,b8d7:f8e8
1r2k3/3R1pp1/1p2p2p/1P6/8/2P2P1P/4K1P1/8 w - -,d7c7
1b4k1/p6p/6p1/2p3N1/2Pp4/3P2P1/P5KP/8 w - -,g5e4
8/1k6/2p1pn1p/1pq1p1p1/4P3/2P2P1P/2r3PK/R2NQ3 b - -,f6h5
4b1k1/p5p1/5p1p/1p1nP3/1PpN1p2/2P2P1P/P1Br2P1/4R1K1 w - -,e5f6
6k1/qp3bp1/p1rnp2p/3p4/P2P4/3B4/1P1QNPPP/5RK1 w - -,b2b3
4R3/2kr1p2/1pp3p1/p1p4p/P4K1P/1P1P2P1/2P2P2/8 b - -,b6b5
