8/8/1R2K3/r7/8/2kb4/8/8 b - -,c3d4
2rrb3/2q3bk/p1p1B1pp/npB1p3/PP2p3/7P/2PRQPPN/3R2K1 b - -,a5c4
r1q2r2/p5k1/1p3pp1/n1pPp2p/2P1P1bR/5PQ1/P2N2P1/1R2KB2 b - -,g6g5
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/P1N3P1/1P1PPPBP/R1BQNRK1 b - -,c8e6
r1bqkb1r/1p1n1ppp/p1p1pn2/3pN3/2PP1B2/2N1P3/PP3PPP/R2QKB1R b KQkq -,f8e7
4rrk1/p3q3/1p6/3nPpp1/2pP4/2P3B1/P3Q1P1/1R3RK1 b - -,e8c8
r1bq1rk1/p3nppp/2n1p3/1pbpP3/2p2P1N/3P2P1/PPPN2BP/R1BQ1R1K b - -,d8b6:c4d3
r2r2k1/Qb3ppp/p4b2/2pp4/P1n1qB2/5NP1/1P2PPBP/R4RK1 w - -,a7b7
3r2k1/3r1ppp/ppnpp3/2q5/P1P1PP2/1PN3P1/3RQ1KP/3R4 w - -,d2d3
2r2rk1/1b1n1ppp/pp6/2qPp3/P7/4NP2/1P4PP/R2RQBK1 b - -,d7f6
2r2rk1/3R1p2/p3p1p1/2pPP2p/2P5/5R2/P4QPP/3q3K w - -,f2f1
8/4k1p1/2p5/pp1PKPPp/2P4P/8/P7/8 w - b6,c4b5
2kr3b/ppp2p1Q/4p3/1b1n4/8/qPP5/P2PNP1P/1K1R1BR1 w - -,g1g8
3r1rk1/1ppqppb1/p1n3pp/3b4/3P1B1P/1P3NP1/P3PPBK/2RQ1R2 b - -,e7e6
3r4/p2rkpb1/bpnpp2p/1N4p1/P1P1P3/1P2BPP1/4RK1P/1B1R4 b - a3,a6b5
rn2r1k1/1b3ppp/p2b1q2/2pp1P2/1p3B2/2NP2P1/PPP3BP/R2Q1RK1 w - -,f4d6
r2qr1k1/1bpn1pbp/1p1p2p1/1N1P4/1PPNn3/8/4BPPP/1RBQ1RK1 b - -,h7h6
5rk1/pp2bppp/1qr1pn2/3p3P/P3bBP1/2p1PP2/1P1NB3/R1Q1K2R w KQ -,b2c3
1r1r4/p3pk2/2p3pp/2N2p2/P1b1P3/2P1R1P1/5P1P/R5K1 b - -,e7e6
r2nkn1r/1p2p1bp/p3p1p1/3p2N1/3q1B2/2N3PB/PP2QP1P/R5K1 w kq -,a1e1
r1b2r2/p1p1kp1n/1p1pp3/6RP/3PP3/2NP1qN1/PP1Q4/1K3R2 b - -,h7g5
6k1/1p3pp1/p7/2P2qP1/1P1pr2p/P4RQP/5PK1/8 b - -,f5d5
8/8/r5kP/3K2B1/5N1P/8/8/8 b - -,g6h7
8/p3r1kp/2b5/3pP1p1/2p2P2/2P2B1P/P1R5/6K1 w - -,c2g2
rn2k2r/pp1qb1pp/3p1n2/4pp2/2PP4/1P3N2/PB3PPP/RN1Q1RK1 b kq -,e5e4
8/p4pk1/2p1p1r1/4P3/5p2/2PP2P1/5P2/4R1K1 b - -,f4g3
rn2k2r/pb1pq1pp/1p1p4/3P4/4p3/6P1/PP2PPBP/RN1Q1RK1 b kq -,e8g8
rnb1kb1r/ppq1pppp/5n2/3p4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,h2h3
8/p4B2/5p2/1kpKp1p1/4P1P1/5P2/8/8 w - -,d5e6
6k1/bp3p1p/p4p2/8/1P5N/P5PB/4nP1P/2r1R2K w - -,e1c1
8/p4pk1/1n4pp/R5P1/3P4/5P2/Pr2BK1P/8 w - -,h2h4
3qr1k1/p1n4p/bp1r2p1/2pPp1P1/P1P1P3/1Q1R3B/3B3P/5RK1 b - -,a6c8
r2qr3/ppp2pbk/4bnpp/1B6/4P3/2N1BP2/PP4PP/R1QR2K1 b - -,f6d7
5rk1/4bpp1/1pb1p2p/pq1pP3/3P4/1N1NQ3/PPR2PPP/6K1 w - a6,f2f4
r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/2P5/P1NPPNP1/1P3PBP/R1BQ1RK1 b - -,c5a7
2r3rk/5n1p/3p2p1/qNnPpp2/PpQ1P2P/4B3/1P3PP1/R1R3K1 w - -,e4f5
8/2pKP3/1p1n4/pk6/5BR1/8/2P1r3/8 b - -,d6e4
8/1B3pk1/P7/3R4/5PKp/8/r4b2/8 w - -,d5d7
r6r/4kb2/pq1n1p1p/b1p1pPp1/1PppP1PP/P2P1BN1/3B2K1/2Q1N2R w - -,b4a5
4r3/2b4p/5k2/1PpP4/4rP2/3K1R1P/2N5/5R2 b - -,c5c4
r1bqkb1r/pppnpppp/3p1n2/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq e3,e7e5
1r1r1bk1/6q1/2pp2p1/p3p3/4P3/1PN5/P1PQ4/1K4RR w - -,d2d3
8/1Kp5/3p4/1P1P4/3r2Bk/7P/8/4b3 w - -,b7c7
r3k2r/pp1nbppp/1q2p3/3pNb2/3P1B2/2P4P/PP1QBPP1/R3K2R b KQkq -,d7e5
2krn2r/pp2bppp/1q2b3/1N1pB3/P1pP4/8/BPP2PPP/R2QR1K1 w - -,b2b3
3rr3/1p2n1bk/3p1p1p/p1pP2p1/1q2P3/1PN1RRPP/P1P3BK/3Q4 b - -,e7g6
6k1/3b1ppp/3P1n2/b5q1/p3p3/3r3P/Q3N1PN/2r2R1K w - -,f1c1
r2qr3/p2n1pbk/b2p1npp/2pP4/1P2P3/2N1BP1P/1PBQN1P1/R4RK1 b - -,a6e2
8/1r1N4/pP2pk2/3p1p1b/n2P1P1p/N3P1pP/P2K2P1/1R6 b - -,f6e7
r3k2r/1p1bb3/pq2pnp1/4B1pp/8/P1N5/1PP1Q1PP/R3R2K w kq -,e5f6
4r1r1/1Q3p2/2pk1p2/3n3q/5B2/2P5/PP2bPPP/2KR3R b - -,e8e5
7r/1k6/1p3p1p/3p3P/p1nPpB2/2P5/2P1KPP1/7R w - -,h1h3
7k/1p3p2/p1p4p/4qp2/3P4/P4P1P/1P4P1/6K1 w - -,d4e5
3r2k1/pn2qpb1/1pp1b1pp/4p3/2P1P3/PP2B1PP/2Q2PB1/1N1R3K w - -,d1d8
r1bqkb1r/pp3ppp/2n1p3/1B1n4/3N4/2P5/PP3PPP/RNBQ1RK1 b kq -,d8c7
5k2/pB4pp/8/8/8/4PK2/P2r2PP/8 b - -,d2a2
8/3n1k1p/1p1rp1p1/2r5/1R5P/5BP1/4PPK1/R7 b - -,c5c7
br1q2k1/3r1pbp/1pN1n1p1/2p1p3/Q3P1n1/2NPB1P1/1P3PBP/R2R2K1 b - -,a8c6
r2r2k1/3qppbp/4n1p1/p7/1pRPN3/5P2/PP1Q1BPP/2R3K1 w - -,c1d1
