6k1/p2r4/1b6/5PP1/7R/4p3/P3K3/8 b - -,d7d2
r2q1rk1/1p3p1p/2p2bpB/p2p1P1n/P3P3/2N2P2/RPPQ2RP/6K1 b - -,f8e8
8/8/4k2p/1R6/5KP1/1Pr5/8/8 w - -,b5b6
r1b1kbnr/2qp1ppp/p1p1p3/8/4PP2/2NB4/PPP3PP/R1BQK2R b KQkq -,d7d5
8/8/4N2k/2Bp2p1/2bP4/p1P4P/1b4K1/8 w - -,c5a3
r4rk1/pb1qppbp/1pn3p1/8/1p6/P2P2P1/3NPPBP/1RBQ1RK1 w - -,a3b4
r4rk1/pR3p1p/5qp1/b1pP1b2/8/2P2R2/P2QB1PP/2B3K1 b - -,f6e5
r3r1k1/pbn1qpp1/1p1p1B1p/3p4/8/1QN3P1/PP2PPBP/2R2RK1 b - -,e7f6
2r2rk1/pbqnppbp/1p1p1np1/8/1PPN4/P3P3/1B1NBPPP/R2Q1RK1 w - -,a1c1
6k1/Np1q3p/1n4p1/4pp2/1PrbQ3/5B1P/P4PP1/3R2K1 w - f6,e4b7
6k1/7p/6p1/p2R1p2/8/1P1KP3/5PPP/4b3 b - -,g8g7
7k/7p/Q1pq2p1/2p2P2/1r6/5P2/P5PP/5RK1 b - -,g6f5
5rk1/3bpp1p/n2p2p1/1p1P4/1p1bP3/P2BNP2/5KPP/1R3R2 w - -,a3b4
3r3k/p5p1/Pp1r1p2/1B1bp3/2P5/1P5P/5PP1/3RR1K1 b - c3,d5e6
5rk1/pp2pn1p/6p1/3p4/3N2P1/2P1R2Q/4Bq2/3K4 b - -,f7g5
1n1r1b1r/k4b1p/p1p2p2/1pPp1Bp1/1P1PP3/2N1BPP1/5K1P/R6R b - -,h7h6
5k2/4pb2/8/8/6K1/B7/Bb3P2/8 b - -,b2a3
4k3/2b2pp1/2p2n1p/2B2P2/2P1p1P1/1B2K2P/PP6/8 w - -,c5d4
r2qk2r/pb1n1pbp/2p3p1/2p1p3/N1PpP3/1P1P1N2/P3QPPP/R1B1R1K1 b kq -,h7h6
r2qk2r/pb1n1ppp/1ppbpn2/3p4/2PPP3/2NB1N2/PPQ2PPP/R1B2RK1 b kq -,d5e4
1k5r/1p3p1p/p2Pp3/3pP3/b4Q2/P3R1P1/1q2BP1P/6K1 b - -,b2b1
2r5/8/7p/1N5k/p1p3p1/2P5/PPK5/5R2 b - -,g4g3
1r5r/3n1k2/b1pq1b1R/2p1p3/4P3/PpQPBN1P/1P2N3/1K1R4 w - -,f3g5
r4bk1/5p1p/6p1/4P3/3p1PKP/3Q2P1/2R3B1/q7 b - -,a8a3
r1b1rbk1/1p3ppp/1qpp1n2/p7/PnPNP3/BPN3PP/3Q1PB1/1R1R2K1 w - -,d2f4
6k1/5pb1/2p1pn1p/2Pp2p1/N2P1PP1/p2BP2P/P5K1/8 w - -,f4g5
5rk1/p1R1R1pp/1p6/2p5/8/Pp3bP1/1P3P2/2K2n2 b - -,f8d8
3r4/8/7k/P2r1pp1/4p1p1/1PQ1P1K1/5PP1/8 b - -,h6h5
r1bqk1nr/2pnppbp/p2p2p1/1p6/3PP2P/2N1B3/PPPQ1PP1/2KR1BNR b kq h3,h7h5
8/p1N5/1p6/2p5/P1Pn4/2K5/k7/8 w - -,c7a6
r2qk2r/pp3p1p/2p1p3/3nPp2/8/1B3Q2/PPP2PPP/2KR3R b kq -,d8g5
r2q1rk1/4ppbp/np3np1/p1ppN1B1/3P4/2P1P3/PP1NQPPP/R3K2R w KQ -,h2h4
2rr2k1/1q1nbppp/3pp3/1n6/Np2PP2/1P3N2/P3QBPP/2R2RK1 w - -,f3d4
5rk1/1qbr1ppp/p1npb3/P2Rp3/1p2P3/1N2B1P1/1PP1QPBP/R5K1 w - -,e2d2
7k/6p1/5n1p/3q4/3n3P/2pBQPP1/8/2B2K2 w - -,f1g2
R1Q5/1p1Pb1p1/pk1r3p/8/1P6/8/PKB3PP/4q3 b - -,e1b4
r5k1/pp3pbp/2n1r1p1/4p1B1/4P3/5N1P/PP3PP1/1K1R3R w - -,d1d7
8/5K2/8/5P2/R7/P1k5/6r1/8 w - -,a4f4
rnb2rk1/pppn1p1p/5qp1/2PNp3/2BP4/5N2/PP3PPP/R2Q1RK1 b - -,f6d8
r4rk1/pb1q3p/3p2p1/2p1p3/Pp2Pp2/1PbPBPP1/2P1Q1BP/1R3RK1 w - -,e3f2
rn4k1/1p5p/p2B2p1/2pP4/P2br1B1/7P/1P4P1/R4R1K b - -,e4e8
3RR3/p4k2/1pp1p3/4P1r1/8/8/4r3/1K6 w - -,e8f8
8/1R6/3k1p2/5P2/P1r5/8/5P2/5K2 w - -,b7b3
5rk1/p6p/1p2p1p1/2qp4/1p1Q1b2/1P1B1P2/P1PPKP2/6R1 w - -,d4c5
