8/7k/7P/1r4PK/8/8/6R1/8 w - -,g2a2
1r3rk1/1p1b1ppp/p2pp3/q3n3/PbPNN3/1P2Q1P1/4PPBP/2RR2K1 b - -,e5g4
6b1/pp4k1/6nr/3p1B2/3P4/5NR1/P2r2PP/5RK1 b - -,d2a2
r4nk1/1p1r1pp1/p1p1b2p/1q6/1B1P4/PP1Q4/2B2PPP/3R1RK1 w - -,d3e4
r2q1rk1/pp1bppbp/3p1np1/n1pP4/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 w - c6,d1c2
6k1/pp3pp1/2p5/4pP2/P3Bn2/1PP2Pp1/3r2P1/2R4K b - a3,d2g2
3q2k1/pp1rnp2/6p1/6R1/3p3p/5Q1P/PP3PP1/4R1K1 b - -,e7c6
3qrbk1/r4n1p/1p4p1/pP1b1p2/P1NPpn2/BQ3N2/2R2PPP/3R1BK1 w - -,f3e5
1r1qk2r/p1p2pb1/2np2pp/3bp3/6P1/2Q2N1P/PP1BPPB1/R4RK1 b k -,e8g8
r1b2rk1/pp4pp/2nq4/3pp3/3P4/3B1NP1/PP3PP1/R2Q1RK1 w - -,d4e5
1r1q2kb/3b1n1p/p2p1np1/2pP1p2/2P2P2/RPN1BB1P/2NQ2P1/6K1 b - -,h7h6
rnbq1rk1/pp2bppp/4pn2/3p4/2P5/P2P1NP1/1P1N1PBP/R1BQ1RK1 w - -,b2b3
2r5/4r2k/3n2pp/4n3/3NB3/6P1/PP3P1P/3R1RK1 w - -,e4g2
r3kb1r/pp2pppp/1qn2n2/3p4/3P1BN1/2N5/PP2PPPP/R2QKB1R b KQkq -,f6g4
4B3/5pp1/4b2p/p1k5/8/n5P1/4PP1P/3N1K2 w - -,f1e1
6k1/2p3pp/p2q1p2/Q2p4/3P4/1P3P2/P4P1P/4K3 w - -,e1f1
r1b2rk1/1pqnbpp1/p1pp1n1p/4p3/2PPP2B/2N2N2/PPQ1BPPP/R2R2K1 b - -,f8e8
r5k1/6r1/1pp1n1pR/p1b1PpP1/3p1P2/6N1/PPPB4/2K1R3 b - -,g8f7
rnbq1rk1/4bp1p/p3p1p1/1pNp4/3P1B2/3BP2P/PPQ2PP1/R4RK1 b - -,b8d7
kr1r4/pn6/4p2p/pb2qp2/6pP/B1p1N1P1/2P2P1R/1RQ2K1B w - -,f1g1
2rq1rk1/1p2bppp/p2np3/3p4/P2P1B2/8/1PbNBPPP/R2QRNK1 w - -,d1c1
8/7p/5p2/8/2p3k1/2P2q2/1Q6/6K1 w - -,g1h2
r5k1/1bqr1pb1/p3n1np/P1p1p1p1/1pP1P3/1N1BB1PP/1P2QPNK/R4R2 w - -,a1d1
