8/5k2/2R5/rr3p2/2p1p2P/6PK/8/R7 w - -,a1a5
r4rk1/3bq1np/n1p3p1/2p1pp2/1P2P2N/6P1/3NBP1P/1R1QR1K1 w - -,e2a6
r4rk1/3n2p1/p1n1pq2/3p4/2pP1PQ1/P1P3bP/1P4P1/R1BR1BK1 b - -,f6h4
r3k1r1/p2qbp1p/2p3p1/2ppP3/6Q1/2P1B2P/PP3PP1/2KRR3 b q -,d7g4
r2qrbk1/pp1b1pp1/1n1p1n1p/3Pp3/4P3/2N1BN1P/PPQ1BPP1/R4RK1 w - -,f3d2
r4rk1/p3pb2/2pp2pp/5P2/5P1B/2R4P/PqPQ2P1/4R2K b - -,f7a2
1rbqkbnr/1p3ppp/p1np4/2p1p3/2P1P3/2NP1N1P/PP2BPP1/R1BQK2R w KQk -,c3d5
r4rk1/ppq2ppp/2pbpn2/5b2/2PP4/1Q2BN1P/PP2BPP1/R4RK1 b - -,f8d8
8/5kp1/5p1p/1bB1p2P/1P2P1P1/4RPK1/8/1r6 w - -,e3a3
2r2rk1/pp2ppbp/4N1p1/q1n5/4P3/2N1n1P1/PP2QPBP/R2R2K1 w - -,e2e3
rnb1r1k1/pp5p/6p1/2pP2N1/8/2N1n3/PP2BKPP/R6R b - -,c8f5
6k1/3q1ppp/8/3r4/8/P2R1P2/1P4rP/R4QK1 w - -,g1g2
8/3k4/P4p1p/1P1K1Pp1/6P1/3B4/8/6b1 w - -,d3e2
3r1k2/3rnpp1/ppp1p2p/8/2PPn1P1/1PNRK2P/1P3P2/3R4 w - -,c3e4
2br1rkn/pp3qb1/2p4p/2Pp1p2/5P2/1P1B2NP/P1Q3PB/4RRK1 w - -,g1h1
6k1/pr3p1p/3r2p1/1P1p4/3Nn1P1/7P/P1R3P1/3R2K1 b - -,a7a6
r1b2rk1/1p1n1ppp/3b1p2/8/p1PN4/4B3/PPB2PPP/R3R1K1 b - -,d7e5
4r2k/6p1/p4q1p/1p6/8/1PPQ1PP1/P2R2KP/8 b - -,f6c6
3r2k1/1p2bb1p/p3ppp1/q2r4/5P1Q/1P1BR3/PBP3PP/4R2K b - -,d5h5
8/1pr2pk1/p2rbp2/P2p2p1/3P3p/1BP2P1P/3K2P1/2R1R3 w - -,b3c2
