8/8/3r4/5p1p/2k4P/3p4/3Q1PPK/8 b - -,d6d4
r4rk1/1pqb1ppp/1bn1p1n1/p2pP3/P6P/1NBB1N2/1PP2PP1/R2QR1K1 b - h3,a8d8
3r2k1/2qr1pb1/ppn1b1pp/2pnp3/P1N4P/1BPPBN2/1PQ2PP1/3RR1K1 w - -,e3c1
3r1rk1/p2npp2/1p4p1/2p3P1/5B2/5qP1/PPP3KP/R2R4 w - -,g2f3
5k2/4p2p/6p1/1R2p3/1P1nP3/2K5/5PPP/8 b - -,d4b5
rnbqk2r/pp1p1ppp/4pn2/8/2Pp4/6P1/PP1QPPBP/RN2K1NR w KQkq -,g1f3
3rr2k/6pp/p1p5/4q3/P7/2Q2B2/1P1p1PPP/3R1K2 b - -,e5h2
r1r2k2/p2nqpp1/4b2p/3p4/2p5/Q1R1PN2/PP2BPPP/2R3K1 b - -,d7b6
4rrk1/pb5p/5p2/2bp4/2p2P2/P5P1/BP4KP/3NRR2 b - -,g8g7
r5k1/1b3qbp/2p3p1/3p1p2/2nB4/1Q2P1P1/PP3PBP/2RR2K1 b - -,g7f8
6k1/5p2/B5pp/8/3b1Pb1/3N4/3K4/8 w - -,d3b4
rnbq1rk1/1p2bppp/p3pn2/1Ppp4/P7/4PN2/1BPPBPPP/RN1QK2R w KQ c6,b5c6
1rbq1rk1/ppnpppbp/2n3p1/4P3/2B1Q3/2N2N2/PPP2PPP/R1B2RK1 w - -,a2a4
rnbqkbnr/pp3ppp/2p5/3pp1P1/3P4/8/PPP1PPBP/RNBQK1NR b KQkq d3,b8d7
r6k/pp1qnrb1/3p3p/1PpPp2n/P3N2P/1Q1P2P1/1B3PBK/1R3R2 b - -,h5f4
rr2q1k1/2n2p2/p1p2np1/N1Pp3p/PP1Pp2P/4P2B/1R3PP1/1R1Q1K2 b - -,g8g7
r5k1/pp4Bp/3P2p1/1r6/4pN2/2P3PP/PP4B1/R5K1 b - -,g8g7
r2q1rk1/pppnnpbp/3p2p1/3Pp3/P3P3/2N1BB1P/1PP2PP1/R2Q1RK1 w - -,a4a5
