8/8/8/7R/4k3/2p3BP/6P1/r6K w - -,h1h2
r3k2r/2qpbppp/p1n1p3/1p1bP3/5P2/1N1BB3/PPP1Q1PP/R4RK1 w kq -,c2c3
4k3/1p3p1p/2p3p1/2Pn4/3N4/5P2/4K1PP/8 b - -,e8d7
r2b1rk1/6pp/1pq1pp2/1R6/3P2PP/1RPQ2B1/5P1K/8 b - -,a8a1
8/1p2q1k1/3p2p1/pP2p3/P2pP2P/5QP1/3b4/2r1NR1K w - -,e1d3
r1bqk2r/ppppb1pp/2n2n2/1B2pP2/8/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,d2d4
3r4/5pp1/1k6/2p2p1p/5R1P/1PK1P1P1/5P2/8 b - -,g7g6
rn2k2r/1b3ppp/pq1ppn2/2b5/2P5/p3BNP1/1PN1PPBP/R2Q1RK1 w kq -,b2b4
1rb2rk1/ppq1ppbp/3p1np1/2p5/2PP4/1PB3P1/P3PPBP/RN1Q1RK1 w - -,b1d2
r2qkb1r/pp1npppp/6b1/3p4/4p1P1/1P2Q2P/PBPP1PB1/R3K1NR w KQkq -,f2f3
r1bqkb1r/5ppp/p2ppn2/1p6/P1nNP1P1/2N1BP2/1PPQ3P/R3KB1R w KQkq -,f1c4
r1b1k2r/pp3pbp/2n1p1p1/q1p5/3PP2P/P1P1BN2/5PP1/R2QKB1R w KQkq -,d1d2
r2q2k1/p5b1/B5bp/2Bpp1p1/5r2/P7/1P3PPP/R2QR1K1 b - -,d8d7
r3k2r/p2qppbp/1p3np1/2p1R3/8/2PP4/PP3PPP/RNBQ2K1 w kq -,d1f3
2rr2k1/p2p1p2/1q1Bpbp1/4n2p/1pP1P3/P3N1P1/3RQP1P/3R2K1 w - -,a3b4
rqb2r2/pp2b2k/2np1n1p/1N2p1p1/P1B1Pp2/2P4P/1P2QPPN/R1BR2K1 w - -,b2b3
2r5/p3r3/3kppp1/1p1n1p2/3P4/2P2R1N/PK2RPPP/8 b - -,e7c7
rn1q1rk1/pp3pbp/1n1pb1p1/4p3/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,b2b3
8/4bR2/4r3/4p3/7P/3pk1P1/4PNK1/8 w - -,e2d3
1r6/8/2B2k2/3Pp3/1PN1P3/K2n4/8/8 w - -,b4b5
4b3/4Bp1k/6p1/pp5p/2p2P2/P1P3PP/3n2B1/6K1 w - -,e7d8
r4rk1/3q1pp1/1p2p3/2pnPbBQ/p2P3P/P7/BP3PP1/3RK2R b K -,f8c8
r1bk1b1r/1pp1n1pp/p2p1q1n/1N2PpN1/2B1P3/6P1/PPP2P1P/R1BQK2R b KQ -,f6e5
8/7p/2k2p2/1p2p1p1/pP2P1P1/P1K5/5P1P/8 w - g6,c3d3
2r3k1/2r2p1p/p4Rpb/1p1Pp3/4P3/PP6/1B4PP/1B1N3K w - -,b1d3
r1bq1r1k/6bp/p2p2p1/3Ppp2/1BP1P3/R4QNP/5PP1/4R1K1 b - -,a8b8
b1r1r1k1/2q1bpp1/pp1pp2p/4n3/P1P1P3/1PN1BPP1/2R1Q1BP/3R3K w - -,e2f2
2r1r1k1/p4p2/5np1/3p4/5BPP/3BP1Q1/q4PK1/3R4 w - -,h4h5
r1b1r2k/ppqn2b1/2pp1npp/4ppB1/PPPP4/1QNBPP2/4N1PP/4RRK1 w - -,g5h4
r4rk1/1p2qpb1/p3b1pp/2p5/3pP3/1Q1P1N2/PP1B1PPP/2R1R1K1 w - -,b3b6
r4rk1/pp3pb1/4p1p1/2qpn2p/7P/P1NB1P2/1PP1Q1P1/1K1R3R b - -,a8c8
r2qkb1r/pp3ppp/2n1pn2/2pp1b2/3P4/2P2NP1/PP1NPPBP/R1BQ1RK1 b kq -,c5d4
6k1/3R3p/3p2p1/8/1b4P1/5K2/5P2/8 b - -,b4c5
8/ppk1b2Q/2p2q2/2P5/1P4B1/P5PK/7P/8 w - -,h7d3
8/6p1/2knpp2/1p2b1pP/1P4P1/3BPK2/8/4B3 w - -,d3h7
5rk1/4ppb1/2Np2pp/1Pn5/4P1B1/4B1P1/r6P/4R1K1 b - -,a2b2
4B3/6k1/3p1bp1/7p/8/6K1/4P3/8 b - -,f6e5
5rk1/1pp2r2/p2p2p1/1P1Pp2p/2P1P1bq/5Pb1/P3QNP1/1RRN2K1 b - -,g4f3
b5k1/6p1/3NppN1/3n4/5P2/3r3p/8/2K3B1 b - -,d3g3
6k1/2R4p/6p1/5p2/2N1p2P/6P1/r4PK1/8 w - -,c7d7
3kr3/3p3p/1p4p1/2bbqp2/3Nn3/2P1B2Q/PP3PPP/R4RK1 b - -,f5f4
r1bq1rk1/pp2nppp/3p1n2/2p1p3/2B1P3/3P1N2/PPP2PPP/R1BQ1RK1 w - -,h2h3
r2r2k1/2q1bppp/p2pbn2/2p3B1/PpN1P3/1B4Q1/1PP2PPP/R3R1K1 b - -,f6h5
2B3k1/2r2p1p/4p1p1/3p4/P7/1RR5/4nPPP/5K2 b - -,e2c3
8/1p4k1/pPb5/P1P4r/3RpP2/6K1/4P3/8 b - -,h5c5
rnbq1rk1/ppppppbp/5np1/8/2BP1B2/4PN2/PPP2PPP/RN1QK2R b KQ -,d7d6:d7d5
3nk2r/5p2/pq1p1b1p/1b2pP2/1p2P3/5Q2/PPPN3P/1K1R2R1 b k -,a6a5
2k3r1/ppqb4/2n3p1/3prpB1/P1p5/2P1Q2P/2P2PP1/1R2RBK1 w - -,e3d2
5r1k/1p4n1/p3R2p/2Pp1p2/1P1P4/P6B/7P/5R1K b - -,g7e6
1rb1k2r/p4p2/2p2n1p/n3p3/N2q2p1/3P2P1/PPP1Bb1P/R1BQ1KNR w k -,c2c3
rn3rk1/pp2bppp/2p1pn2/3P4/3P4/1bN2NP1/1P2PPBP/R1B1R1K1 b - -,e6d5
r2qk2r/ppp1bpp1/2n1b3/3np2p/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq h6,h2h4
7k/p2n1p2/6p1/4q2p/2prB2P/P4PQ1/8/4R2K w - -,f3f4
q2r2k1/6bp/p2Np1p1/1pNbp3/5P2/8/PPP2QPP/3R2K1 w - -,f4e5
8/8/1p3pp1/p3p3/P3Pk1P/1R3P2/1R4KP/3q4 w - -,b3a3
r1b2rk1/pppp1ppp/2n2q2/2b1n3/2BNP3/2P1B3/PP1Q1PPP/RN3RK1 w - -,c4e2
5k2/2p1bppp/B3p3/4P3/1n1Nb3/6P1/pB2PP1P/6K1 w - -,a6c4
8/6pk/1r4rp/8/4Q3/5P2/5K2/8 b - -,b6b2:b6f6
3r4/p4ppk/1p5p/1P1q4/P1R5/6P1/5P1P/2Q3K1 w - -,c1c2
3r2k1/1p3p1p/3r2p1/2N5/P1P2P2/1Pbp2P1/n5BP/1R1K3R b - -,c3b4
8/1R3pkp/4p3/6p1/1p2P3/4n3/2r1B2P/4K3 b - -,e3g2
8/R4k2/8/5K2/5P1p/8/8/7r b - -,f7e8
r1b2rk1/pp2qnbp/n2p1pp1/1NpPp3/2P1P3/7P/PP1BBPPN/2RQR1K1 b - -,g7h6
r1b2rk1/pp1n2pp/2pbp3/3p2q1/2PP1p2/1P1N2P1/PB1QPPBP/R4RK1 w - -,g3f4
