8/1p1R3P/6R1/p3p1p1/1r2k3/K1n5/8/8 b - -,c3b5
2r4r/3b4/4pk2/1p1p4/pB3PP1/Pn1P4/1R2K1BP/7R b - -,d5d4
rnbqk1nr/ppp2pbp/3p2p1/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8c6:e5d4:c7c6
8/7p/B5p1/1k3p2/2pB3P/6P1/1P2PPK1/8 b - -,b5a6
r2rbk2/5pb1/3p2np/1p1Pn1p1/1P2N1P1/R6P/B3NPK1/2B1R3 w - -,a3a8
2r1k2r/pp3ppp/2npbn2/5p2/3P4/P1N1PNP1/1P3P1P/R3KB1R w KQk -,f3d2
1qr1r1k1/pb2bppp/1p3n2/2np4/8/1PN1PN2/PB2QPPP/1BRR2K1 w - -,f3d4
r4rk1/1bqnbppp/pp1p1n2/4p3/P3PP2/2NB1N2/1PP3PP/R1B1QR1K w - -,f3h4
r4rk1/1ppqnppp/pn2p3/8/3PP3/B1P3P1/P3QPBP/R4RK1 b - -,f8e8
5rk1/5ppp/4p3/pq1r1n2/Np1P1Q2/1P5P/1P3PP1/2RR2K1 b - -,f8d8
r3kbnr/3b1ppp/p3p3/1qppP3/N7/1P1Q1N2/P1PB1PPP/R4RK1 b kq -,g8e7
r1b1r1k1/2q2pb1/2p2npp/p3p3/1pN1P3/3BQN2/PPP2PPP/R4RK1 w - -,f1d1
r1b1k2r/pp2nppp/1bnp2q1/3P4/2B5/5N2/P4PPP/RNBQ1RK1 b kq -,g6f6
1r6/2k5/1b6/NR5p/6pP/8/5PK1/8 w - -,a5c4
3Rrb1k/5p1p/1p3n2/4pN2/q3P2Q/2P3P1/5P1P/5B1K b - -,a4c6
8/5pbk/1p1p1q1p/3P4/1PPp1rPn/5N1P/4QPB1/3R1K2 w - -,f3d2
8/8/kP1K4/7p/2P1pp1P/4N3/8/8 w - -,d6c7
r1bq1rk1/5pb1/p2p1np1/2pPp1Np/3nP2P/2p1BP2/PP1Q2P1/R2NKB1R w KQ -,b2c3
1r1q1rk1/1p3pp1/p1pbb2p/8/Q1PpN3/3P1PP1/PP2R1BP/R5K1 w - -,c4c5
rr6/3nk1p1/pP1p1p2/2pPp1n1/4P1Pp/1PNB3P/2P3P1/R4RK1 b - -,b8b6
