8/6p1/1q1kp3/5pp1/8/3r2PP/R5QK/8 b - -,d6e7
r1b2rk1/pp1n1pbp/1qpp1np1/4p3/2PPP3/1PN2NP1/P4PBP/R1BQ1RK1 w - -,c1b2:a1b1:d4d5
8/1kp4r/3p4/1P2p3/Q1P4b/2R1P2p/P1K5/5q2 w - -,a4a6
5rk1/Q1R5/1p3pp1/p3P3/3Pbq1p/7P/PP4P1/6RK b - -,g6g5
3rn1k1/5pp1/1q4p1/1p1Pp3/2p1P3/2P3NP/4Q1PK/R7 b - -,e8d6
r2qk2r/1b2npbp/p1npp1p1/2p1P3/1p3P2/3P1NP1/PPP1QNBP/R1B2RK1 b kq -,d6e5
2b5/1pk2p2/8/1B3p2/P4Pp1/4K1P1/1b2N3/8 w - -,e2d4
3brrk1/2q3pp/2n2n2/1ppppN2/8/2PP1N2/1P3PPP/R1BQR1K1 w - -,f5g3
r2qkbnr/3b1ppp/2n1p3/pP1pP3/p1p5/2PP1N2/1B3PPP/RN1QKB1R b KQkq -,c6a7
r3kbnr/1p1b1ppp/4p3/1q1pP3/p1pP4/PBP2N2/1P3PPP/R1BQRNK1 b kq -,b5b3
rn1q1rk1/pbppb1pp/1p2p3/3n1p2/2PP4/3BPN1P/PP1N1PPB/R2QK2R b KQ c3,d5f6
r1bq1rk1/pp1n1pbp/2p1n1p1/4P3/4P1P1/2N1BN1P/PPPQ4/R3KB1R b KQ -,d7e5
3r4/p3kp1p/8/1P1p1RPP/3P4/8/1PK5/8 w - -,c2b3
8/6kp/p5p1/1p6/8/Pp3q2/6PK/8 w - -,g2f3
1r1r4/3p3p/pk1Np3/2R1Ppp1/1PP5/6PP/8/6K1 w - -,c5a5
2rbr1k1/1bqn1p1p/pp1pp1p1/6P1/P3PP2/1N1BB1n1/1PP2Q1P/4RRK1 w - -,h2g3
8/p3n2p/1p2k3/4p1p1/1P2Pp2/P1K2P1P/6P1/2N5 b - -,e7g6
2r2q2/1r2ppbk/1pnp2p1/p1nN3p/P1PBP3/1P3P1N/4Q1PP/1R1R3K w - -,d4e3
1r2r1k1/2p2pp1/3p3p/p1p5/N1PRn3/1P2P1PP/P1R2PK1/8 w - -,d4d3
8/3b3p/1k1p2pP/3P1pP1/2K2P2/1B6/8/8 b - -,d7e8
r1bqk2r/ppp1n1pp/2nbpp2/3p4/2PP4/4PNB1/PP3PPP/RN1QKB1R w KQkq -,b1c3
2r4r/4kpp1/2Bqp3/B2nNb1p/3P2n1/P7/1P3PPP/2RQR1K1 w - -,c6d5
1r2r1k1/pBp2ppp/8/8/5p1n/2PP4/PP3P1P/2KR3R w - -,b7e4
8/1k2b2p/1p2B2P/p3P1r1/Pn1P1pPN/5K2/8/2R5 b - -,b4d3
r2qkb1r/1p3ppp/p1nppn2/2p5/4P3/2P2Q1P/PP1P1PP1/RNB1RBK1 w kq -,d2d3
8/6pk/4p2p/3p1q2/2p2P1P/r1P2QP1/3R3K/8 w - -,g3g4
r1rq2k1/4bppp/1n1p1n2/1ppPpQ2/p3P3/2P4P/PPB2PPN/R1B1R1K1 w - -,h3h4
6k1/pp2r2p/3p4/2pPr3/4n2B/P3R3/1P4PP/3R2K1 b - -,e7e8
2r2rk1/p4p1p/1p4n1/7Q/1P5P/P1b3P1/4PPB1/1R4K1 w - -,h5f5
2k2r1r/1ppqbppp/p2p1n2/4p3/1P2PPb1/P1NP1N2/2P2QPP/R1B2RK1 w - -,f4f5
1n1qkr2/2rp1p2/p3p1b1/1p5p/5Q1P/PN3B2/1PPR1PP1/2K1R3 w - -,b3d4
8/8/2Q3p1/3P1pPk/5K1P/5P2/4q3/8 b - -,e2h2
