Event,WhiteElo,BlackElo
25001,2355,2309
25002,2024,2092
25003,2280,2048
25004,2252,2294
25005,2259,2420
25006,2048,2162
25007,2317,2124
25008,2427,2430
25009,2306,2237
25010,2111,1940
25011,2232,2158
25012,2405,2351
25013,2436,2284
25014,2383,2357
25015,2233,2234
25016,2276,2121
25017,2316,2362
25018,2307,2100
25019,2449,2114
25020,2157,2321
25021,2340,2269
25022,2308,1904
25023,2096,2278
25024,2409,2273
25025,2046,2309
25026,2455,2067
25027,2368,2447
25028,2396,2306
25029,2292,2358
25030,2290,2083
25031,2471,2314
25032,2337,2023
25033,2299,2169
25034,2488,2211
25035,2123,2379
25036,2163,2098
25037,2332,2429
25038,2141,2128
25039,2102,2229
25040,2128,2371
25041,2467,2327
25042,2351,2207
25043,2096,2320
25044,2495,2346
25045,2153,2409
25046,2146,2286
25047,2143,2224
25048,2414,2413
25049,2031,2371
25050,2417,2202
25051,2327,2424
25052,1915,2221
25053,2353,2188
25054,2465,2205
25055,1988,2308
25056,2263,2401
25057,2448,2192
25058,2277,2216
25059,2146,2157
25060,2519,2309
25061,2088,2304
25062,2228,2118
25063,2151,2000
25064,2416,2428
25065,2188,2421
25066,2325,2179
25067,2309,2288
25068,2007,2302
25069,2332,2356
25070,2084,2182
25071,2005,2219
25072,2382,2415
25073,2306,2166
25074,2042,2352
25075,2293,2267
25076,1901,2180
25077,2204,2105
25078,2145,2127
25079,2320,2310
25080,2225,2265
25081,2306,2261
25082,2426,2218
25083,2278,2293
25084,1898,2246
25085,2259,1771
25086,2199,2405
25087,2151,2288
25088,2375,2336
25089,2320,2095
25090,2209,2270
25091,2293,2446
25092,1968,1828
25093,2161,2304
25094,2293,2274
25095,2288,2360
25096,2053,2403
25097,2122,2050
25098,2356,2297
25099,2171,2212
25100,2317,2251
25101,2380,2463
25102,2321,2296
25103,2352,2312
25104,2245,2410
25105,2195,2239
25106,2186,2124
25107,2354,2433
25108,2359,2317
25109,2018,2334
25110,2334,2324
25111,2338,2326
25112,1983,2233
25113,2287,2063
25114,2102,2223
25115,2087,1910
25116,2107,2185
25117,2358,2329
25118,2289,2285
25119,2497,2457
25120,1861,2178
25121,2330,2338
25122,2050,2314
25123,1986,2242
25124,2117,2393
25125,1926,2105
25126,2409,2319
25127,2166,2397
25128,2269,2199
25129,2177,2218
25130,2299,2180
25131,2264,2397
25132,2260,2469
25133,2125,2351
25134,2030,2381
25135,2325,2159
25136,2131,1933
25137,2485,2406
25138,2235,2173
25139,2179,2356
25140,2095,2279
25141,2103,2234
25142,2389,2399
25143,2265,2255
25144,2411,2393
25145,2477,2318
25146,2196,2043
25147,2265,2390
25148,1923,1887
25149,2379,2291
25150,2307,2198
25151,2206,2124
25152,2145,2366
25153,2412,2300
25154,2198,2360
25155,2256,2041
25156,2089,2332
25157,2380,2361
25158,2117,1994
25159,2091,2409
25160,2228,2095
25161,2245,2166
25162,2032,2315
25163,2256,1961
25164,2147,2091
25165,1902,2265
25166,2312,2130
25167,2328,2133
25168,1899,2200
25169,2355,2416
25170,2198,2344
25171,2317,2128
25172,2348,2284
25173,2042,2211
25174,2212,2047
25175,2386,2493
25176,2294,1951
25177,2089,2290
25178,2274,2151
25179,2255,2066
25180,2363,2262
25181,2488,2249
25182,2182,2310
25183,2268,2287
25184,2370,2456
25185,2289,2254
25186,2177,2152
25187,2135,2205
25188,2060,2374
25189,2287,2234
25190,2094,2272
25191,2557,2440
25192,2415,2490
25193,2241,2334
25194,2126,2136
25195,2366,2157
25196,2345,2172
25197,2121,2291
25198,2161,2058
25199,1978,2072
25200,2317,1961
25201,2294,2249
25202,2205,2402
25203,2341,2417
25204,2112,2183
25205,2069,2111
25206,2338,2204
25207,2428,2505
25208,1979,2322
25209,2124,2159
25210,2293,2106
25211,2254,2155
25212,2058,2131
25213,2206,2439
25214,2079,2154
25215,2215,2315
25216,2201,2103
25217,2288,2099
25218,2315,2478
25219,2040,2175
25220,2115,2155
25221,2417,2132
25222,2323,2209
25223,2408,2385
25224,2347,2072
25225,2377,2290
25226,2300,2349
25227,2150,2287
25228,2154,2053
25229,2191,2251
25230,2169,2221
25231,2127,2299
25232,2351,1950
25233,2061,2317
25234,2566,2338
25235,2469,2306
25236,2217,2239
25237,2228,2032
25238,2367,2159
25239,2433,2166
25240,2388,2225
25241,1982,2266
25242,2145,2246
25243,1902,2300
25244,2259,2374
25245,2008,2213
25246,2388,2458
25247,2353,2145
25248,2402,2319
25249,2252,2061
25250,2165,2379
25251,2306,2332
25252,2231,2362
25253,2208,2228
25254,2295,2400
25255,2190,2092
25256,2103,1901
25257,2242,2181
25258,2155,2317
25259,2022,2034
25260,2304,2190
25261,1919,2157
25262,2329,2145
25263,2226,1886
25264,2205,2293
25265,2307,2344
25266,2353,2104
25267,2239,2198
25268,2182,2289
25269,2074,2078
25270,2436,2363
25271,2474,2199
25272,2044,1991
25273,2377,2453
25274,2307,2359
25275,2137,2133
25276,2350,2300
25277,2093,2272
25278,2153,2302
25279,2278,2218
25280,2191,2104
25281,2263,2294
25282,2150,2062
25283,2105,2250
25284,2399,2319
25285,2276,2329
25286,2160,2098
25287,1898,2187
25288,2126,2332
25289,2175,2256
25290,2387,2483
25291,2095,2289
25292,1819,2320
25293,2065,2174
25294,2145,2073
25295,2329,2118
25296,2298,2099
25297,2280,2216
25298,2041,2138
25299,2298,2275
25300,2486,2094
25301,2467,2278
25302,2245,2188
25303,2418,2419
25304,2064,2204
25305,2267,2300
25306,2221,2318
25307,2163,2325
25308,2099,2061
25309,2330,2115
25310,2455,2374
25311,2394,2267
25312,2071,2237
25313,2306,2549
25314,2157,2240
25315,2260,2336
25316,2318,2054
25317,2450,2421
25318,2206,1996
25319,2353,2168
25320,2110,2037
25321,2265,2417
25322,2344,2272
25323,2298,2350
